Date,Name,Year,Letterboxd URI
2023-11-10,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A
2023-11-10,Chicken Run,2000,https://boxd.it/20Xg
2023-11-11,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/2p1w
2023-11-11,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0
2023-11-12,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2023-11-13,Isle of Dogs,2018,https://boxd.it/dZrW
2023-11-14,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2023-11-17,Antz,1998,https://boxd.it/1ZB4
2023-11-18,EVANGELION: DEATH (TRUE)²,1998,https://boxd.it/woHc
2023-11-20,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2023-11-21,The Darjeeling Limited,2007,https://boxd.it/24as
2023-11-22,Hotel Transylvania: Transformania,2022,https://boxd.it/lwCC
2023-11-22,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2023-11-23,Sinbad: Legend of the Seven Seas,2003,https://boxd.it/1Oa2
2023-11-23,Ghost in the Shell,1995,https://boxd.it/1YYc
2023-11-24,The House,2022,https://boxd.it/yVza
2023-11-25,The Wrong Trousers,1993,https://boxd.it/2ack
2023-11-25,"Monsters, Inc.",2001,https://boxd.it/2a46
2023-11-26,Ghost in the Shell 2: Innocence,2004,https://boxd.it/1SrG
2023-11-27,A Matter of Loaf and Death,2008,https://boxd.it/1O4S
2023-11-27,A Grand Day Out,1989,https://boxd.it/2acu
2023-11-27,A Close Shave,1995,https://boxd.it/2aca
2023-11-29,The Killer,2023,https://boxd.it/u6WE
2023-12-01,Se7en,1995,https://boxd.it/29zs
2023-12-04,Ghost in the Shell,2017,https://boxd.it/abTA
2023-12-06,Get Out,2017,https://boxd.it/eOCm
2023-12-07,GoodFellas,1990,https://boxd.it/29FA
2023-12-08,Blade Runner,1982,https://boxd.it/2bcA
2023-12-10,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-12-15,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa
2023-12-16,Chicken Run: Dawn of the Nugget,2023,https://boxd.it/iTww
2023-12-22,Paprika,2006,https://boxd.it/23wW
2023-12-22,Snatch,2000,https://boxd.it/2b7U
2023-12-23,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/2b92
2023-12-25,Trading Places,1983,https://boxd.it/28sK
2024-01-02,Akira,1988,https://boxd.it/2b1i
2024-01-04,Memento,2000,https://boxd.it/2bcK
2024-01-06,Oppenheimer,2023,https://boxd.it/wUow
2024-01-09,Shaft,2019,https://boxd.it/htPq
2024-01-09,Wolfwalkers,2020,https://boxd.it/fGrC
2024-01-10,The Great Beauty,2013,https://boxd.it/5ty6
2024-01-11,Howl's Moving Castle,2004,https://boxd.it/23De
2024-01-13,See How They Run,2022,https://boxd.it/sNVq
2024-01-15,A Bug's Life,1998,https://boxd.it/1Yyy
